alimento_id,alimento,Carbohidratos,Energía,Lípidos,Proteína,Sodio
6033,"Res, carne muy grasosa (carne con mucho tejido grasoso)",0,388,36.23,14.4,
6034,"Res, carne seca",0.5,390,14.5,64.8,
6035,"Res, carne semigrasosa (tipo bistec)",0,251,19.8,18.3,
6036,"Res, cecina oreada",0,273,14.9,34.7,
6037,"Res, chambarete",0,125,4.8,20.4,
6038,"Res, corazon",2.6,105,3.8,17,
6039,"Res, cuete",0,95,3,17,
6040,"Res, estomago e intestinos crudos",0,94,4,14.6,
6041,"Res, falda",0,105,1.7,22.4,
6042,"Res, filete",0,119,2.5,24,
6052,"Ternera, carne en canal",0,151,8,19.7,
7008,Pavo o guajolote (promedio),0,154,8,20.4,
7009,"Pavo, ala",0,197,12.32,20.22,
7010,"Pavo, pechuga con piel",0,157,7.02,21.89,
7011,"Pavo, pierna o muslo con piel",0.15,166,8.97,19.81,
7012,Piel de pollo,0,349,32.35,13.33,
7013,"Pollo, promedio",0,210,15.1,18.6,
7014,"Pollo, asado o frito con piel",0,223,13.39,23.97,
7015,"Pollo, asado o frito sin piel",0,111,2.7,20.33,
7016,"Pollo, cocido (con piel)",0,285,18.87,26.88,
7017,"Pollo, cocido (sin piel)",0,237,11.89,30.42,
7018,"Pollo, rostizado (promedio)",0,300,20.97,25.95,
7019,"Pollo, rostizado (ala)",0,254,16.87,23.79,
7020,"Pollo, rostizado (pechuga)",0,197,7.78,29.8,
7021,"Pollo, rostizado (pierna o muslo)",0,184,8.99,24.03,
7022,"Pollo, ala",0,191,12.85,17.52,
7029,"Pollo, pechuga con piel",0,181,11.1,20.2,
7030,"Pollo, pechuga en bistec (sin hueso y sin piel)",0,120,2.62,22.5,
7031,"Pollo, pechuga sin piel",0,120,2.62,22.5,
7032,"Pollo, pescuezo",0,297,26.24,14.07,
7033,"Pollo, pierna o muslo con piel",0,237,18.34,16.69,
7034,"Pollo, pierna o muslo sin piel",0,113,3.61,18.74,
8000,Abulon,6.01,105,0.76,17.1,
8001,Almejas sin concha,1.3,68,0.7,14,
8002,Anchoas,0,131,4.84,20.35,
8003,Anguila,0,184,11.66,18.44,
8004,Atun ahumado,0,200,10.04,25.54,
8005,Atun drenado en agua (industrializado),0.68,99.97,1.27,29.37,
8006,Atun drenado promedio (industrializado),0,127.54,6.07,15.69,
8007,"Atun en aceite, drenado",0,161.8,4,9.96,
8008,Atun en agua (light) industrializado,0,92,0.36,22.12,
8009,Atun fresco,0,144,4.9,23.33,
8010,Atun y sardina (promedio),0.14,185.51,9.68,24,
8011,Boqueron frito,0.3,190,10.3,24,
8012,Calamar fresco,1.5,82,1.1,16.4,
8013,Callo de hacha,2.1,80,1.8,13.9,
8014,Camaron cocido,2.5,113,1.46,23.2,
